"Рулька__баранина__мясо_и_жир__обрезь_до_1/4""_жира__отборная__тушеная",243 кКал
"Рулька__баранина__Новая_Зеландия__замороженная__мясо_и_жир__обрезь_до_1/8""_жира__сырая",223 кКал
"Рулька__баранина__Новая_Зеландия__замороженная__мясо_и_жир__обрезь_до_1/8""_жира__тушеная",258 кКал
Рулька__баранина__Новая_Зеландия__замороженная__мясо_и_жир__сырая,183 кКал
Рулька__баранина__Новая_Зеландия__замороженная__мясо_и_жир__тушеная,258 кКал
Рулька__баранина__Новая_Зеландия__замороженная__только_мясо__сырая,122 кКал
Рулька__баранина__Новая_Зеландия__замороженная__только_мясо__тушеная,209 кКал
Селезенка_баранья,101 кКал
Селезенка_баранья__тушеная,156 кКал
Сердце_баранье,86 кКал
Сердце_баранье,122 кКал
Сердце_баранье__тушеное,185 кКал
Фарш_из_баранины,282 кКал
Фарш_из_баранины__жаренный_на_открытом_огне,283 кКал
Фарш_из_мяса_белки_(Аляска),111 кКал
Фарш_из_мяса_бизона,223 кКал
Фарш_из_мяса_бизона__жаренный_на_сковороде,238 кКал
Фарш_из_мяса_зубра_пастбищного,146 кКал
Фарш_из_мяса_зубра_пастбищного__приготовленный,179 кКал
Фарш_из_мяса_лося,172 кКал
Фарш_из_мяса_лося__жаренный_на_сковороде,193 кКал
Фарш_из_мяса_оленя_(лани),157 кКал
Фарш_из_мяса_оленя_(лани)__жаренный_на_сковороде,187 кКал
Шницель_отбивной_из_баранины__по_1_416,333 кКал
Ягнятина,196 кКал
Ягнятина__лопаточная_часть,259 кКал
Ягнятина__лопаточная_часть_жаренная_на_открытом_огне,278 кКал
Ягнятина__лопаточная_часть_только_мясо,151 кКал
Ягнятина__лопаточная_часть_только_мясо__жаренная_на_открытом_огне,211 кКал
Ягнятина__лопаточная_часть_только_мясо__запеченная,209 кКал
Ягнятина__лопаточная_часть__запеченная,281 кКал
Ягнятина__лопаточная_часть__только_мясо__тушеная,288 кКал
Ягнятина__лопаточная_часть__тушеная,345 кКал
Ягнятина__окорок,272 кКал
Ягнятина__окорок__запеченный,292 кКал
Ягнятина__окорок__только_мясо__запеченный,204 кКал
Ягнятина__плечевая_часть,260 кКал
Ягнятина__плечевая_часть__жаренная_на_открытом_огне,281 кКал
Ягнятина__плечевая_часть__запеченная,279 кКал
Ягнятина__плечевая_часть__только_мясо,132 кКал
Ягнятина__плечевая_часть__только_мясо__жаренная_на_открытом_огне,200 кКал
Ягнятина__плечевая_часть__только_мясо__запеченная,192 кКал
Ягнятина__плечевая_часть__только_мясо__тушеная,279 кКал
Ягнятина__плечевая_часть__тушеная,346 кКал
Язык_бараний,195 кКал
Язык_бараний,222 кКал
Язык_бараний_тушеный,275 кКал
Язык_оленя_карибу_(Аляска),260 кКал
Продукт,Калорийность
LOMA_LINDA_Большие_сосиски__низкожирные__консервированные__неприготовленные,154 кКал
MORI_NU__Тофу__мягкий__шелковый,55 кКал
MORI_NU__Тофу__твердый__шелковый,62 кКал
MORI_NU__Тофу__экстра_твердый__шелковый,55 кКал
Арахис,552 кКал
Арахис,567 кКал
Арахис_валенсия,570 кКал
Арахис_валенсия_жаренный_на_масле__без_соли,589 кКал
Арахис_валенсия_жареный_на_масле__с_солью,589 кКал
Арахис_вареный__с_солью,318 кКал
Арахис_вирджиния,563 кКал
Арахис_вирджиния_жареный_на_масле__без_соли,578 кКал
Арахис_вирджиния__жареный_на_масле__с_солью,578 кКал
Арахис_жареный,626 кКал
Арахис_жареный_без_масла__без_соли,587 кКал
Арахис_жареный_без_масла__с_солью,587 кКал
Арахис_жареный_на_масле__без_соли,599 кКал
Арахис_жареный_на_масле__с_солью,599 кКал
Арахис_испанский,570 кКал
Арахис_испанский__жареный_на_масле__без_соли,579 кКал
Арахис_испанский__жареный_на_масле__с_солью,579 кКал
Арахисовая_мука_обезжиренная,327 кКал
Арахисовая_мука_с_низким_содерж._жира,428 кКал
Арахисовая_паста_без_соли,598 кКал
Арахисовая_паста_обогащенная_витаминами_и_минералами,591 кКал
Арахисовая_паста_с_кусочками_орехов__без_соли,589 кКал
Арахисовая_паста_с_кусочками_орехов__обогащенное_витаминами_и_минералами,593 кКал
