Салями__воздушной_варки__из_говядины,261 кКал
Салями__воздушной_варки__из_говядины_и_свинины,336 кКал
Салями__воздушной_варки__индюшатина,172 кКал
Салями__из_свинины__и_говядины__меньше_натрия,396 кКал
Салями__итальянская__свинина,425 кКал
Салями__сухая_или_твердая__свинина,407 кКал
Салями__сухая_или_твердая__свинина__говядина,378 кКал
Сарделька_(сосиска)__говядина,315 кКал
Сарделька_(сосиска)__говядина_и_свинина,305 кКал
Сарделька_(сосиска)__говядина__свинина__индейка__обезжиринная__1.6%_жира,109 кКал
Сарделька_(сосиска)__говяжья__разогретая,322 кКал
Сарделька_(сосиска)__индейка,223 кКал
Сарделька_(сосиска)__куриная,223 кКал
Сарделька_(сосиска)__мясная,290 кКал
Сарделька_(сосиска)__мясная_и_домашняя_птица__маложирная__2.8%_жира,121 кКал
Сарделька_(сосиска)__мясная__маложирная__10%_жира,140 кКал
Сарделька_(сосиска)__мясная__разогретая,278 кКал
Сарделька_(сосиска)__с_низким_содерж._Натрия,312 кКал
Сардельки_1_сорта,202 кКал
Сардельки_говяжьи,215 кКал
Сардельки_говяжьи_отварные__по_1_394,215 кКал
Сардельки_свиные,322 кКал
Свинина__Паштет__из_ветчины,216 кКал
Свинина__Паштет__ливерный,304 кКал
Свинина__Паштет__с_сыром_и_беконом,245 кКал
Сервелат,461 кКал
Сосиски_говяжьи,226 кКал
Сосиски_говяжьи_отварные__по_1_394,225 кКал
Сосиски_столичные,234 кКал
Сосиски__венские__консервированные__из_курицы__говядины__и_свинины,230 кКал
Сосиски__молочные,261 кКал
Сосиски__русские,250 кКал
Сосиски__свиные,324 кКал
Спред_для_сэндвичей__паштет__из_свинины_и_говядины,235 кКал
Спред_салат__для_сэндвичей__домашняя_птица,200 кКал
Чоризо_(чорисо)__из_свинины_и_говядины,296 кКал
Продукт,Калорийность
Аджика,"59,3 кКал"
Анис__семена,337 кКал
Базилик__свежий,23 кКал
Базилик__сушеный,233 кКал
Ванилин,351 кКал
Ванильный_экстракт,288 кКал
Ванильный_экстракт__искуственный__без_алкоголя,56 кКал
Ванильный_экстракт__искуственный__с_алкоголем,237 кКал
Васаби,292 кКал
Гвоздика__молотая,274 кКал
Горчица_желтая__приготовленная,60 кКал
Горчица_желтая__семена,508 кКал
Горчица_сарептская__соленая,28 кКал
Горчица_столовая,143 кКал
Дрожжевой_экстракт,185 кКал
Заменитель_майонеза__молочные_сливки,97 кКал
Заменитель_майонеза__соевый,232 кКал
Заменитель_майонеза__соевый_без_холестерина,482 кКал
Заправка_для_салата_Зеленая_богиня,427 кКал
Заправка_для_салата_из_шинкованной_капусты,404 кКал
Заправка_для_салата_из_шинкованной_капусты__обезжиренная,329 кКал
Заправка_для_салата_итальянская__без_соли__покупная,292 кКал
Заправка_для_салата_итальянская__низкокалорийная,200 кКал
Заправка_для_салата_итальянская__обезжиренная,102 кКал
Заправка_для_салата_итальянская__обезжиренная,47 кКал
Заправка_для_салата_итальянская__обезжиренная__без_соли,76 кКал
Заправка_для_салата_итальянская__покупная,240 кКал
Заправка_для_салата_кунжутная,443 кКал
Заправка_для_салата_по_домашнему_рецепту__приготовленная,110 кКал
Заправка_для_салата_с_беконом_и_помидорами,326 кКал
Заправка_для_салата_с_уксусом_и_маслом_домашнего_приготовления_,449 кКал
Заправка_для_салата_Тысяча_островов__обезжиренная,195 кКал
Заправка_для_салата_Тысяча_островов__покупная,379 кКал
Заправка_для_салата_французская__обезжиренная,132 кКал
Заправка_для_салата_французская__по_домашнему_рецепту,631 кКал
Заправка_для_салата_Цезарь,542 кКал
Заправка_для_салата_Цезарь__низкокалорийная,110 кКал
Заправка_для_салата_Цезарь__обезжиренная,131 кКал
Заправка_для_салата__медово_горчичная__низкокалорийная,207 кКал
"Заправка_для_салата__обезжиренная__""MIRACLE_WHIP_LIGHT""_компании_KRAFT",84 кКал
"Заправка_для_салата__обезжиренный_майонез_""Mayo""_компании_KRAFT",64 кКал
Заправка_для_салата__пахта__легкая,202 кКал
Заправка_для_салата__перечная__покупная,564 кКал
Заправка_для_салата__Ранчо_(фермерская)__обезжиренная,119 кКал
Заправка_для_салата__Ранчо_(фермерская)__обезжиренная,196 кКал
Заправка_для_салата__Ранчо_(фермерская)__покупная,430 кКал
Заправка_для_салата__русская,355 кКал
Заправка_для_салата__русская__низкокалорийная,141 кКал
Заправка_для_салата__с_голубым_сыром_или_сыром_рокфор__низкокалорийная,99 кКал
Заправка_для_салата__с_голубым_сыром_или_сыром_рокфор__низкокалорийная,86 кКал
Заправка_для_салата__с_голубым_сыром_или_сыром_рокфор__обезжиренная,115 кКал
Заправка_для_салата__с_голубым_сыром_или_сыром_рокфор__покупная,484 кКал
Заправка_для_салата__с_различными_запахами_в_ассортименте__в_спрее,165 кКал
Заправка_для_салата__Тысяча_островов__обезжиренная,132 кКал
Заправка_для_салата__французская__без_соли__покупная,459 кКал
Заправка_для_салата__французская__низкокалорийная,227 кКал
Заправка_для_салата__французская__обезжиренная,222 кКал
Заправка_для_салата__французская__обезжиренная__без_соли,233 кКал
Заправка_для_салата__французская__покупная,419 кКал
Заправка_для_салата__французская__с_хлопковым_маслом_по_домашнему_рецепту,631 кКал
Зира__семена,375 кКал
Ива__молодые_листья__нарубленные__(Аляска),122 кКал
Иван_чай_узколистный__листья__сырой,103 кКал
Имбирь__корень_сушеный_молотый,335 кКал
Кардамон,311 кКал
Карри__порошок,325 кКал
Кервель__сушеный,237 кКал
Кетчуп,101 кКал
Кетчуп_с_пониженым_содержанием_соли,101 кКал
Кориандр_(кинза)__листья__сушеные,279 кКал
Кориандр__семена,298 кКал
Корица__молотая,247 кКал
Куркума__молотая,312 кКал
Лавровый_лист,313 кКал
Лемонграсс_(цимбопогон)__сырой,99 кКал
Лимонная_кислота,250 кКал
Лук_шалот__сублимированный,348 кКал
Луковый_порошок,341 кКал
Майонез_«Провансаль»__67%_жирности,629 кКал
"Майонез_легкий__""Mayo_Light""_компании_KRAFT",334 кКал
Майонез_легкий__22%_жирности,238 кКал
Майонез_на_основе_соевого_масла__без_соли,717 кКал
Майонез_низкокалорийный,263 кКал
Майонез_с_тофу,322 кКал
Майонез_столовый_молочный__67%_жирности,627 кКал
Майонез__33%_жирности__без_холестерина,333 кКал
Майонез__40%_жирности__с_оливковым_маслом,361 кКал
Майонез__78%_жирности__без_холестерина,688 кКал
Майонез__лекгий__SMART_BALANCE__Omega_Plus_light__34%_жира,333 кКал
Майонез__обезжиренный,84 кКал
Майонез__с_соевым_и_сафлоровым_маслом_и_солью,717 кКал
Майонез__с_соевым_маслом_и_солью,680 кКал
Майонез__с_солью,250 кКал
Майонез_19%_жирности__безсолевой__низкокалорийный_или_диетический,231 кКал
Майоран__сушеный,271 кКал
Маннит,376 кКал
Маринад_овощной_без_томата_по_2_106,134 кКал
Мускатный_орех__молотый,525 кКал
Мускатный_цвет__молотый,475 кКал
Мята_колосистая__свежая,44 кКал
Мята_колосистая__сушеная,285 кКал
Мята_перечная__свежая,70 кКал
Орегано__сушеный,265 кКал
Пажитник__семена,323 кКал
Паприка__перец_сладкий_молотый,282 кКал
Паста_для_сэндвичей_с_порезанными_маринованными_огурцами_на_масляной_основе,389 кКал
Перец_белый,296 кКал
Перец_душистый__молотый,263 кКал
Перец_красный_молотый_острый,318 кКал
Перец_черный___молотый_или_горошек,251 кКал
Петрушка_сушеная,292 кКал
Пищевая_сода,0 кКал
Приправа_для_птицы,307 кКал
Приправа_для_тыквенного_пирога,342 кКал
Рассол_соли,0 кКал
Розмарин__свежий,131 кКал
Розмарин__сушеный,331 кКал
Сельдерей_корень_сушеный,191 кКал
Сельдерей__семя,392 кКал
Сливочная_заправка__приготовленная_из_сметаны_и/или_пахты_и_масла__низкокалорийная,160 кКал
Сливочная_заправка__приготовленная_из_сметаны_и/или_пахты_и_масла__низкокалорийная__без_холестерина,140 кКал
Сливочная_заправка__приготовленная_из_сметаны_и/или_пахты_и_масла__низкокалорийная__обезжиренная,107 кКал
Соевый_соус,53 кКал
Соевый_соус__из_гидролизованного_овощного_белка,60 кКал
Соевый_соус__из_гидролизованного_овощного_белка__с_пониженным_содержанием_нартия,90 кКал
Соевый_соус__с_пониженным_содержанием_нартия,57 кКал
Соевый_соус__тамари_(только_из_сои__без_пшеничной_муки),60 кКал
Соль_поваренная_пищевая,0 кКал
Соль_столовая,0 кКал
Соус_белый_основной_по_2_82,56 кКал
Соус_грибной_по_2_96,82 кКал
Соус_кисло_сладкий,15 кКал
Соус_клюквенный_по_2_112,51 кКал
Соус_красный_основной_по_2_74,48 кКал
Соус_луковый_по_2_76,75 кКал
Соус_майонез_со_сметаной_по_2_102,312 кКал
Соус_маковый__кремовый,399 кКал
Соус_медово_горчичный,464 кКал
Соус_медово_горчичный_обезжиренный,169 кКал
Соус_молочный_по_2_92,84 кКал
Соус_песто__готовый_к_употреблению__длительного_хранения,426 кКал
Соус_песто__готовый_к_употреблению__охлажденный,418 кКал
Соус_польский_по_2_98,78 кКал
Соус_с_хреном_по_2_104,27 кКал
Соус_сметанный_по_2_94,78 кКал
Соус_Табаско_с_остым_перцем,12 кКал
Соус_томатный_острый,99 кКал
Соус_томатный_по_2_84,80 кКал
Соус_черносмородиновый_по_2_110,275 кКал
Соус_чили_шрирача,93 кКал
Тимьян__свежий,101 кКал
Тимьян__сушеный,276 кКал
Тмин__семена,333 кКал
Укроп__семена,305 кКал
Укроп__сушеный,253 кКал
Уксус_бальзамический,88 кКал
Уксус_винный_3%,9 кКал
Уксус_винный__красный,19 кКал
Уксус_спиртовой,18 кКал
Уксус_столовый_9%,32 кКал
Уксус_яблочный,21 кКал
Фенхель__семена,345 кКал
Хрен__корень,59 кКал
Хрен__соус_приготовленный,48 кКал
Чабер__молотый,272 кКал
Чеснок__порошок,331 кКал
Чили__порошок,282 кКал
Шалфей__молотый,315 кКал
Шафран,310 кКал
Эстрагон_(тархун)__зелень_свежая,"24,8 кКал"
Эстрагон__сушеный,295 кКал
Продукт,Калорийность
BURGER_KING__ванильный_коктейль,168 кКал
BURGER_KING__гамбургер,261 кКал
"BURGER_KING__двойной_""WHOPPER""__без_сыра",252 кКал
"BURGER_KING__двойной_""WHOPPER""__с_сыром",266 кКал
BURGER_KING__драники,302 кКал
BURGER_KING__картошка_фри,280 кКал
"BURGER_KING__круассан_""CROISSAN_WICH""_с_сосиской_и_сыром",376 кКал
"BURGER_KING__круассан_""CROISSAN_WICH""_с_сосиской__яйцом_и_сыром",308 кКал
"BURGER_KING__круассан_""CROISSAN_WICH""_с_яйцом_и_сыром",283 кКал
"BURGER_KING__куриное_филе_""CHICKEN_TENDERS""",292 кКал
"BURGER_KING__куриный_сэндвич_""Original_Chicken_Sandwich""",286 кКал
"BURGER_KING__сэндвич_""WHOPPER""__без_сыра",233 кКал
"BURGER_KING__сэндвич_""WHOPPER""__с_сыром",250 кКал
BURGER_KING__французские_гренки,349 кКал
BURGER_KING__чизбургер,286 кКал
"DOMINO_S__пицца_""EXTRAVAGANZZA_FEAST""__на_классическом_корже__сформированном_вручную__14_дюймов",244 кКал
"DOMINO_S__пицца_с_паперони_""Pepperoni_Pizza""__на_замороженном_корже__14_дюймов",283 кКал
"DOMINO_S__пицца_с_паперони_""Pepperoni_Pizza""__на_классическом_корже__сформированном_вручную__14_дюймов",273 кКал
"DOMINO_S__сырная_пицца_""Cheese_Pizza""__на_замороженном_корже__14_дюймов",265 кКал
"DOMINO_S__сырная_пицца_""Cheese_Pizza""__на_классическом_корже__сформированном_вручную__14_дюймов",257 кКал
"DOMINO_S__сырная_пицца_""Cheese_Pizza""__на_тонком_корже_с_кусочками_арахиса",298 кКал
KENTUCKY_FRIED_CHICKEN__бисквит__информация_состоянием_на_январь_2007,358 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_в_панировке_курица_""EXTRA_CRISPY""__бедра__мясо_и_шкурка__информация_состоянием_на_январь_2007",309 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_в_панировке_курица_""EXTRA_CRISPY""__крылышки__мясо_и_шкурка__информация_состоянием_на__январе_2007",337 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_в_панировке_курица_""EXTRA_CRISPY""__ножки__мясо_и_шкурка__информация_состоянием_на_январь_2007",274 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_в_панировке_курица_""EXTRA_CRISPY""__шкурка__информация_состоянием_на_январь_2007",464 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_в_панировке_курица_""ORIGINAL_RECIPE""__бедра__мясо_и_шкурка__информация_состоянием_на_январь_2007",269 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_в_панировке_курица_""ORIGINAL_RECIPE""__грудка__мясо_и_шкурка__информация_состоянием_на_январь_2007",231 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_в_панировке_курица_""ORIGINAL_RECIPE""__крылышки__мясо_и_шкурка__информация_состоянием_на__январь_2007",297 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_в_панировке_курица_""ORIGINAL_RECIPE""__ножки__мясо_и_шкурка__информация_состоянием_на__январь_2007",239 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_в_панировке_курица_""ORIGINAL_RECIPE""__шкурка__информация_состоянием_на__январь_2007",384 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_курица_""EXTRA_CRISPY""__бедра__только_мясо___информация_состоянием_на__январь_2007",179 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_курица_""EXTRA_CRISPY""__грудка__только_мясо__информация_состоянием_на_январь_2007",153 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_курица_""EXTRA_CRISPY""__крылышки__только_мясо__информация_состоянием_на__январь_2007",236 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_курица_""EXTRA_CRISPY""__ножки__только_мясо__информация_состоянием_на__январь_2007",170 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_курица_""ORIGINAL_RECIPE""_ножки__только_мясо__информация_состоянием_на__январь_2007",175 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_курица_""ORIGINAL_RECIPE""__бедра__только_мясо__информация_состоянием_на__январь_2007",175 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_курица_""ORIGINAL_RECIPE""__грудка__только_мясо__информация_состоянием_на__январь_2007",149 кКал
"KENTUCKY_FRIED_CHICKEN__жареная_курица_""ORIGINAL_RECIPE""__крылышки__только_мясо__информация_состоянием_на__январь_2007",216 кКал
"KENTUCKY_FRIED_CHICKEN__жаренаяв_панировке_курица_""EXTRA_CRISPY""__грудка__мясо_и_шкурка__информация_состоянием_на_янваье_2007",268 кКал
KENTUCKY_FRIED_CHICKEN__куринный_попкорн__информация_состоянием_на_январь_2007,351 кКал
KENTUCKY_FRIED_CHICKEN__салат_из_капусты,144 кКал
KENTUCKY_FRIED_CHICKEN__хрустящие_куринные_полосочки__информация_состоянием_на__январь_2007,274 кКал
LITTLE_CAESARS__пицца_с_мясом_и_овощами__на_оригинальном_корже__14_дюймов,243 кКал
"LITTLE_CAESARS__пицца_с_паперони_""Original_Round_Pepperoni_Pizza""__на_стандартном_корже__14_дюймов",273 кКал
"LITTLE_CAESARS__пицца_с_паперони_""Pepperoni_Pizza""__на_большом_замороженном_корже__14_дюймов",265 кКал
"LITTLE_CAESARS__сырная_пицца_""Cheese_Pizza""__на_большом_замороженном_корже__14_дюймов",263 кКал
"LITTLE_CAESARS__сырная_пицца_""Cheese_Pizza""__на_тонком_корже__14_дюймов",309 кКал
"LITTLE_CAESARS__сырная_пицца_""Original_Round_Cheese_Pizza""__на_стандартном_корже__14_дюймов",265 кКал
"McDONALD_S__""BIG_MAC""",257 кКал
"McDONALD_S__""BIG_MAC""_(без_соуса_Big_Mac)",234 кКал
"McDONALD_S__""Chicken_McNUGGETS""",302 кКал
McDONALD_S__бисквит_с_беконом__яйцом_и_сыром,304 кКал
McDONALD_S__бисквит_с_котлетой,376 кКал
McDONALD_S__бисквит_с_котлетой_и_яйцом,311 кКал
McDONALD_S__буррито_с_котлетой,262 кКал
McDONALD_S__гамбургер,264 кКал
"McDONALD_S__готовые_завтраки_""BIG_BREAKFAST""",285 кКал
"McDONALD_S__двойной_сэндвич_""QUARTER_POUNDER""_с_сыром",262 кКал
McDONALD_S__двойной_чизбургер,282 кКал
McDONALD_S__драники,262 кКал
"McDONALD_S__завтрак_""Deluxe""__с_сиропом_и_маргарином",285 кКал
McDONALD_S__йогуртово_фруктовое_Парфе,105 кКал
McDONALD_S__йогуртово_фруктовое_Парфе_(без_гранолы),90 кКал
McDONALD_S__картошка_фри,323 кКал
McDONALD_S__котлета_McGRIDDLES,312 кКал
McDONALD_S__котлета_McMuffin,333 кКал
McDONALD_S__котлета_McMuffin_с_яйцом,274 кКал
McDONALD_S__котлета_McMuffin_с_яйцом_и_сыром,283 кКал
"McDONALD_S__мороженное_""McFLURRY""_с_конфетами_""M_and_M_S""",177 кКал
"McDONALD_S__мороженное_""McFLURRY""_с_печеньем_""OREO""",165 кКал
McDONALD_S__обезжиренное_ванильное_мороженое__рожок,162 кКал
McDONALD_S__оладьи,228 кКал
McDONALD_S__оладьи_(с_двумя_шариками_масла_и_сиропом),272 кКал
McDONALD_S__оладьи_с_сосисками,294 кКал
McDONALD_S__пломбир_клубничный,158 кКал
McDONALD_S__пломбир_с_горячей_карамелью,188 кКал
McDONALD_S__пломбир_с_горячей_помадкой,186 кКал
"McDONALD_S__рыбный_сэндвич_""FILET_O_FISH""",282 кКал
"McDONALD_S__рыбный_сэндвич_""FILET_O_FISH""_(без_соуса_тартар)",243 кКал
"McDONALD_S__салат_с_беконом_и_хрустящей_курятиной_""Bacon_Ranch_Salad""",122 кКал
"McDONALD_S__сэндвич_""McCHICKEN""_(без_майонеза)",240 кКал
"McDONALD_S__сэндвич_""McMUFFIN""_с_яйцом",228 кКал
"McDONALD_S__сэндвич_""QUARTER_POUNDER""",244 кКал
"McDONALD_S__сэндвич_""QUARTER_POUNDER""_(с_сыром)",258 кКал
"McDONALD_S__сэндвич_с_беконом__яйцом_и_сыром_""McGRIDDLES""",272 кКал
McDONALD_S__чизбургер,263 кКал
"PAPA_JOHN_S__пицца_""Works_Pizza""__на_фирменном_корже__14_дюймов",240 кКал
"PAPA_JOHN_S__пицца_с_паперони_""Pepperoni_Pizza""__на_оригинальном_корже__14_дюймов",275 кКал
"PAPA_JOHN_S__сырная_пицца_""Cheese_Pizza""__на_оригинальмом_корже__14_дюймов",260 кКал
"PAPA_JOHN_S__сырная_пицца_""Cheese_Pizza""__на_тонком_корже__14_дюймов",295 кКал
"PIZZA_HUT__пицца_""Super_Supreme_Pizza""__на_стандартном_корже__12_дюймов",243 кКал
"PIZZA_HUT__пицца_""Super_Supreme_Pizza""__на_стандартном_корже__14_дюймов",248 кКал
"PIZZA_HUT__пицца_с_паперони_""Pepperoni_Pizza""__на_стандартном_корже__12_дюймов",280 кКал
"PIZZA_HUT__пицца_с_паперони_""Pepperoni_Pizza""__на_стандартном_корже__14_дюймов",291 кКал
"PIZZA_HUT__пицца_с_паперони_""Pepperoni_Pizza""__на_толстом_корже__12_дюймов",298 кКал
"PIZZA_HUT__пицца_с_паперони_""Pepperoni_Pizza""__на_толстом_корже__14_дюймов",291 кКал
"PIZZA_HUT__сырная_пицца_""Cheese_Pizza""__на_стандартном_корже__12_дюймов",271 кКал
"PIZZA_HUT__сырная_пицца_""Cheese_Pizza""__на_стандартном_корже__14_дюймов",275 кКал
"PIZZA_HUT__сырная_пицца_""Cheese_Pizza""__на_толстом_корже__12_дюймов",280 кКал
"PIZZA_HUT__сырная_пицца_""Cheese_Pizza""__на_толстом_корже__14_дюймов",276 кКал
"PIZZA_HUT__сырная_пицца_""Cheese_Pizza""__на_тонком_хрустящем_корже__12_дюймов",303 кКал
"PIZZA_HUT__сырная_пицца_""Cheese_Pizza""__на_тонком_хрустящем_корже__14_дюймов",306 кКал
POPEYES__бисквит__информация_состоянием_на_ноябрь_2007,401 кКал
POPEYES__жареная_в_панировке_курица__бедра__мясо_и_шкурка__информация_состоянием_на_январь_2007,310 кКал
POPEYES__жареная_в_панировке_курица__грудка__мясо_и_шкурка__информация_состоянием_на_январь_2007,274 кКал
POPEYES__жареная_в_панировке_курица__крылышки__мясо_и_шкурка__информация_состоянием_на__январь_2007,338 кКал
POPEYES__жареная_в_панировке_курица__ножки__мясо_и_шкурка__острые__информация_состоянием_на__январь_2007,293 кКал
POPEYES__жареная_в_панировке_курица__шкурка__информация_состоянием_на__январь_2007,433 кКал
POPEYES__жареная_курица__бедра__только_мясо__информация_состоянием_на__январь_2007,188 кКал
POPEYES__жареная_курица__грудка__только_мясо__информация_состоянием_на__январь_2007,157 кКал
POPEYES__жареная_курица__крылышки__только_мясо__информация_состоянием_на__январь_2007,212 кКал
POPEYES__жареная_курица__ножки__только_мясо__информация_состоянием_на__январь_2007,170 кКал
POPEYES__куринные_полосочки__информация_состоянием_на__2006_год,271 кКал
POPEYES__острые_куринные_полосочки__информация_состоянием_на__2006_год,253 кКал
POPEYES__салат_из_капусты,161 кКал
"TACO_BELL__буррито_""SUPREME""_с_говядиной",183 кКал
"TACO_BELL__буррито_""SUPREME""_с_курицей",179 кКал
"TACO_BELL__буррито_""SUPREME""_со_стейком",183 кКал
TACO_BELL__буррито_с_бобами,209 кКал
TACO_BELL__мягкое_тако_(тако_с_пшеничной_лепешкой)_с_говядиной,206 кКал
TACO_BELL__мягкое_тако_(тако_с_пшеничной_лепешкой)_с_курицей,189 кКал
TACO_BELL__мягкое_тако_(тако_с_пшеничной_лепешкой)_со_стейком,225 кКал
TACO_BELL__начо_(картофельные_чипсы),350 кКал
TACO_BELL__начо_(картофельные_чипсы)_с_соусом_сюприм,246 кКал
TACO_BELL__Оригинальное_тако_с_говядиной,229 кКал
TACO_BELL__салат_тако,170 кКал
"WENDY_S__гамбургер_""CLASSIC_SINGLE""__без_сыра",213 кКал
"WENDY_S__гамбургер_""CLASSIC_SINGLE""__с_сыром",221 кКал
"WENDY_S__гамбургер_""Jr._Hamburger""__без_сыра",243 кКал
"WENDY_S__гамбургер_""Jr._Hamburger""__с_сыром",256 кКал
"WENDY_S__замороженные_десерты_на_каждый_день_""Frosty_Dairy_Dessert""",132 кКал
"WENDY_S__классический_двойной_сэндвич_""CLASSIC_DOUBLE""__с_сыром",241 кКал
WENDY_S__куринные_нагетсы,326 кКал
WENDY_S__сэндвич_с_куриным_филе_по_домашнему_(Homestyle_Chicken_Fillet_Sandwich),214 кКал
WENDY_S__сэндвич_с_куриным_филе__приготовленным_на_гриле_(Ultimate_Chicken_Grill_Sandwich),179 кКал
Легкое_мягкое_мороженое__смешанное_с_конфетами_из_молочного_шоколада,182 кКал
Легкое_мягкое_мороженое__смешанное_с_кусочками_печенья,169 кКал
Макдональдс__Бэкон_Ранч__салат_без_цыпленка,61 кКал
Макдональдс__Бэкон_Ранч__салат_с_цыпленком_гриль,81 кКал
Макдональдс__Сайд_Салат,20 кКал
Пицца__с_мясом_и_овощами__на_растущем_корже__замороженная__приготовленная,271 кКал
Пицца__с_мясом_и_овощами__на_стандартном_корже__замороженная__приготовленная,276 кКал
Пицца__с_паперони__на_стандартном_корже__замороженная__приготовленная,274 кКал
Пицца__с_сыром__замороженная__приготовленная,268 кКал
Пицца__с_сыром__на_растущем_корже__замороженная__приготовленная,260 кКал
"Сэндвич_с_сосиской_""Sausage_Griddle_Cake_Sandwich""",318 кКал
"Сэндвич_с_яйцом__сыром_и_беконом_""Griddle_Cak""",272 кКал
"Сэндвич_с_яйцом__сыром_и_сосиской_""Griddle_Cak""",291 кКал
Фаст_фуд__жареный_цыпленок__бедрышки__мясо_с_кожицей__в_панировке,274 кКал
Фаст_фуд__жареный_цыпленок__бедрышки__только_мясо__без_кожицы_и_без_панировки,178 кКал
Фаст_фуд__жареный_цыпленок__голень__мясо_с_кожицей__в_панировке,267 кКал
Фаст_фуд__жареный_цыпленок__голень__только_мясо__без_кожицы_и_без_панировки,172 кКал
Фаст_фуд__жареный_цыпленок__грудки__только_мясо__без_кожицы_и_без_панировки,153 кКал
Фаст_фуд__жареный_цыпленок__кожа_в_панировке,398 кКал
Фаст_фуд__жареный_цыпленок__крылышки__мясо_с_кожицей__в_панировке,310 кКал
Фаст_фуд__жареный_цыпленок__крылышки__только_мясо__без_кожицы_и_без_панировки,215 кКал
Фаст_фуд__клаб_сэндвич_(трехслойный)__с_курицей_гриль__беконом__томатами__сыром__салатом_и_майонезом,220 кКал
Фаст_фуд__клаб_сэндвич_(трехслойный)__с_хрустящей_курицей__беконом__томатами__сыром__салатом_и_майонезом,257 кКал
Фаст_фуд__английский_кекс__с_сыром_и_сосиской,338 кКал
Фаст_фуд__английский_кекс__с_яйцом__сыром_и_канадским_беконом,228 кКал
Фаст_фуд__английский_кекс__с_яйцом__сыром_и_сосиской,286 кКал
Фаст_фуд__бисквит_с_ветчиной,342 кКал
Фаст_фуд__бисквит_с_сосиской,371 кКал
Фаст_фуд__бисквит_с_яйцом_и_беконом,305 кКал
Фаст_фуд__бисквит_с_яйцом_и_ветчиной,233 кКал
Фаст_фуд__бисквит_с_яйцом_и_сосиской,312 кКал
Фаст_фуд__бисквит_с_яйцом__сыром_и_сосиской,301 кКал
Фаст_фуд__бублик_с_отбивной__яйцом_и_сыром__приправленный,295 кКал
Фаст_фуд__бублик_со_стейком__яйцом_и_сыром__приправленный,282 кКал
Фаст_фуд__буррито_с_бобами,206 кКал
Фаст_фуд__буррито_с_бобами_и_мясом,191 кКал
Фаст_фуд__буррито_с_бобами_и_сыром,205 кКал
Фаст_фуд__буррито_с_бобами__сыром_и_говядиной,180 кКал
Фаст_фуд__гамбургер__большой__с_одной_котлетой__приправленный,256 кКал
Фаст_фуд__гамбургер__двойной__с_большой_котлетой__овощами_и_майонезом__приправленный,252 кКал
Фаст_фуд__гамбургер__двойной__с_одной_стандартной_котлетой__с_приправами_и_фирменным_соусом,259 кКал
Фаст_фуд__гамбургер__с_одной_большой_котлетой__овощами_и_майонезом__приправленный,226 кКал
Фаст_фуд__гамбургер__с_одной_стандартной_котлетой__неприправленный,297 кКал
Фаст_фуд__гамбургер__с_одной_стандартной_котлетой__приправленный,263 кКал
Фаст_фуд__гренки_по_французски,340 кКал
Фаст_фуд__драники,272 кКал
Фаст_фуд__картошка_фри__жаренная_в_растительном_масле,312 кКал
Фаст_фуд__картошка_пюре,89 кКал
Фаст_фуд__креветки__обжаренные_в_панировке,308 кКал
Фаст_фуд__круассан_с_яйцом__сыром_и_беконом,289 кКал
Фаст_фуд__круассан_с_яйцом__сыром_и_ветчиной,261 кКал
Фаст_фуд__круассан_с_яйцом__сыром_и_сосиской,308 кКал
Фаст_фуд__кукурузные_оладьи,296 кКал
Фаст_фуд__куриное_филе,271 кКал
Фаст_фуд__курица__обжаренная_в_панировке__без_костей__неприправленная,307 кКал
Фаст_фуд__луковые_кольца__обжаренные_в_кляре,411 кКал
Фаст_фуд__миниатюрные_коричные_рулеты,403 кКал
Фаст_фуд__мягкое_ванильное_молочное_мороженое_в_рожке,163 кКал
Фаст_фуд__начо_с_сыром,343 кКал
Фаст_фуд__начо_с_сыром__бобами__говяжьим_фаршем_и_перцем,219 кКал
Фаст_фуд__пицца_с_мясом_и_овощами__на_стандартном_корже__14_дюймов,244 кКал
Фаст_фуд__пицца_с_паперони__на_стандартном_корже__14_дюймов,282 кКал
Фаст_фуд__пицца_с_паперони__на_толстом_корже__14_дюймов,287 кКал
Фаст_фуд__пицца_с_сыром__на_стандартном_корже__14_дюймов,266 кКал
Фаст_фуд__пицца_с_сыром__на_толстом_корже__14_дюймов,271 кКал
Фаст_фуд__пицца_с_сыром__на_тонком_корже__14_дюймов,302 кКал
Фаст_фуд__пломбир_с_горячей_помадкой,180 кКал
